PREVIOUS,CURRENT
essuyé mercredi,un
mercredi un,nouveau
un nouveau,revers
nouveau revers,lorsque
revers lorsque,la justice
lorsque la justice,écossaise
a déclaré,illégale
déclaré illégale,la suspension
illégale la suspension,controversée
la suspension controversée,du
controversée du,Parlement
du Parlement,jusqu’au
Parlement jusqu’au,14
jusqu’au 14,octobre
soit deux,semaines
deux semaines,seulement
semaines seulement,avant la date
seulement avant la date,prévue
avant la date prévue,pour le
prévue pour le,Brexit
Les questions,existentielles
questions existentielles,jouentelles
existentielles jouentelles,un
jouentelles un,rôle
un rôle,important
rôle important,dans les
important dans les,réseaux
dans les réseaux,sociaux
réseaux sociaux,?
C’est sans doute,ce
sans doute ce,que
ce que,se
que se,disent
se disent,les
disent les,adeptes
les adeptes,du
adeptes du,foodforthought
nourriture,pour l’esprit
nourriture pour l’esprit,»
pour l’esprit,en VF
en VF,Mais
en VF Mais,qu’estce
Mais qu’estce,que
qu’estce que,cela
que cela,mange
cela mange,un
mange un,esprit
un esprit,selon Instagram
esprit selon Instagram,?
De la nourriture,de la vraie
la nourriture de la vraie,justement
de la vraie justement,:
justement,œufs
œufs,mollets
œufs mollets,sur toast
mollets sur toast,beignets
sur toast beignets,décorés
de bonbons multicolores,ragoûts
multicolores ragoûts,de quinoa
ragoûts de quinoa,aux quatorze
de quinoa aux quatorze,légumes
aux quatorze légumes,quadruple
légumes quadruple,cheeseburger
quadruple cheeseburger,Tout
cheeseburger Tout,y
Tout y,passe
y passe,pourvu
passe pourvu,que
pourvu que,cela
que cela,soit
cela soit,photogénique
Depuis longtemps,la médecine
longtemps la médecine,a
la médecine a,déterminé
a déterminé,que
déterminé que,certains
que certains,aliments
certains aliments,les
aliments les,acides
les acides,gras
acides gras,et les
gras et les,glucides
et les glucides,par exemple
glucides par exemple,servaient
par exemple servaient,de carburant
servaient de carburant,au cerveau
de carburant au cerveau,Aucune
au cerveau Aucune,étude
Aucune étude,en revanche
étude en revanche,ne
en revanche ne,permet
ne permet,de déterminer
permet de déterminer,l’impact
de déterminer l’impact,sur la nutrition
l’impact sur la nutrition,et le
sur la nutrition et le,fonctionnement
et le fonctionnement,des neurones
fonctionnement des neurones,d’un
des neurones d’un,cappuccino
d’un cappuccino,servi
cappuccino servi,recouvert
servi recouvert,d’un
recouvert d’un,ourson
d’un ourson,en mousse
ourson en mousse,de lait
Martin Luther,King
Luther King,Steve
King Steve,Jobs
Steve Jobs,Bouddha
Si l’on,en croit
l’on en croit,les
en croit les,utilisateurs
les utilisateurs,de foodforthought
utilisateurs de foodforthought,leur
de foodforthought leur,esprit
leur esprit,se
esprit se,nourrit
se nourrit,aussi
nourrit aussi,de citations
exclusivement sur des thèmes,bienêtre
sur des thèmes bienêtre,et développement
bienêtre et développement,personnel
et développement personnel,Exemple
personnel Exemple,:
N’ayez pas,peur
pas peur,de lâcher
peur de lâcher,tout
de lâcher tout,ce
tout ce,qui
ce qui,vous
qui vous,retient
vous retient,d’atteindre
retient d’atteindre,votre
d’atteindre votre,but
L’enfonçage de porte,ouverte
de porte ouverte,est
ouverte est,ici
est ici,un
ici un,art
un art,qui
art qui,n’a
qui n’a,d’égal
n’a d’égal,que
les petites,phrases
petites phrases,que
phrases que,l’on
que l’on,trouve
l’on trouve,sur les
trouve sur les,étiquettes
sur les étiquettes,de Yogi
étiquettes de Yogi,Tea
de Yogi Tea,aussi
Tea aussi,connues
sous le nom,de guide
nom de guide,spirituel
de guide spirituel,pour yogis
spirituel pour yogis,débutantes
Manger équilibré,est
équilibré est,d’autant
est d’autant,plus
d’autant plus,indispensable
plus indispensable,à cette
indispensable à cette,période
à cette période,de l’année
période de l’année,qu’une
de l’année qu’une,mauvaise
qu’une mauvaise,alimentation
mauvaise alimentation,peut
alimentation peut,engendrer
peut engendrer,une
engendrer une,fatigue
une fatigue,ellemême
fatigue ellemême,renforcée
ellemême renforcée,en cette
renforcée en cette,période
en cette période,de l’année
période de l’année,par le
de l’année par le,peu
par le peu,de luminosité
peu de luminosité,et la baisse
de luminosité et la baisse,des températures
Mais il,n’y
il n’y,a
n’y a,pas
a pas,de lien
pas de lien,entre alimentation
de lien entre alimentation,et risque
infectieux sauf,évidemment
sauf évidemment,pour les
évidemment pour les,personnes
pour les personnes,en dénutrition
personnes en dénutrition,rappelle
en dénutrition rappelle,Serge
rappelle Serge,Hercberg
viceprésident du,comité
du comité,stratégique
comité stratégique,du
stratégique du,programme
du programme,national
programme national,nutrition
national nutrition,santé
nutrition santé,PNNS
En revanche,manger
revanche manger,trop
manger trop,riche
trop riche,fatigue
riche fatigue,l’organisme
fatigue l’organisme,en suscitant
l’organisme en suscitant,une
en suscitant une,digestion
une digestion,difficile
digestion difficile,La
difficile La,suralimentation
La suralimentation,qui
suralimentation qui,peut
qui peut,se
peut se,traduire
se traduire,par un
traduire par un,excès
par un excès,d’apport
excès d’apport,en lipides
d’apport en lipides,ou
en lipides ou,en sucres
ou en sucres,ajoutés
en sucres ajoutés,baisse
ajoutés baisse,la résistance
baisse la résistance,bactérienne
la résistance bactérienne,«
bactérienne,Toute
Toute,alimentation
Toute alimentation,industrielle
alimentation industrielle,transformée
industrielle transformée,sodas
transformée sodas,nuggets
sodas nuggets,réduit
nuggets réduit,la concentration
réduit la concentration,en micronutriments
la concentration en micronutriments,et favorise
en micronutriments et favorise,la baisse
et favorise la baisse,des défenses
la baisse des défenses,immunitaires
des défenses immunitaires,»,
immunitaires,déclare
déclare,le
déclare le,nutritionniste
le nutritionniste,Laurent
nutritionniste Laurent,Chevallier
Lire,Avant
Avant,l'arrivée
Avant l'arrivée,de la grippe
l'arrivée de la grippe,A
de la grippe A,comment
A comment,renforcer
comment renforcer,ses
renforcer ses,défenses
ses défenses,immunitaires
défenses immunitaires,?
A noter que,les
que les,soupes
les soupes,en plus
soupes en plus,de réchauffer
en plus de réchauffer,apportent
de réchauffer apportent,le
apportent le,plein
le plein,de sucres
plein de sucres,rapides
de sucres rapides,carottes
rapides carottes,et navets
carottes et navets,et lents
et navets et lents,poireaux
et lents poireaux,et oignons
poireaux et oignons,le
et oignons le,tout
le tout,couplé
tout couplé,avec
couplé avec,une
avec une,hydratation
une hydratation,optimale
hydratation optimale,en hiver
optimale en hiver,Une
en hiver Une,nécessité
Une nécessité,quand
nécessité quand,le
quand le,froid
le froid,et le
froid et le,chauffage
et le chauffage,des espaces
chauffage des espaces,intérieurs
des espaces intérieurs,assèchent
intérieurs assèchent,l’air
assèchent l’air,et le
l’air et le,corps
Des vitamines,pour lutter
vitamines pour lutter,contre les
pour lutter contre les,infections
contre les infections,?
Nul besoin,de se
besoin de se,gaver
de se gaver,de compléments
gaver de compléments,alimentaires
de compléments alimentaires,Il
alimentaires Il,n’y
Il n’y,a
n’y a,aucune
a aucune,étude
aucune étude,scientifique
étude scientifique,qui
scientifique qui,justifie
qui justifie,réellement
justifie réellement,la prise
réellement la prise,de compléments
la prise de compléments,alimentaires
de compléments alimentaires,–
alimentaires,en dehors
en dehors,d’indications
en dehors d’indications,médicales
d’indications médicales,spécifiques
médicales spécifiques,fer
spécifiques fer,ou
fer ou,folate
ou folate,pour les
folate pour les,femmes
pour les femmes,vitamine
femmes vitamine,D
vitamine D,pour les
D pour les,enfants
pour les enfants,les
enfants les,adolescents
les adolescents,et les
adolescents et les,personnes
et les personnes,âgées
personnes âgées,par exemple
âgées par exemple,»,
par exemple,affirme
affirme,Serge
affirme Serge,Hercberg
Serge Hercberg,aussi
Hercberg aussi,spécialiste
aussi spécialiste,en immunologie
spécialiste en immunologie,nutritionnelle
Au contraire,les
contraire les,surplus
les surplus,de vitamines
surplus de vitamines,peuvent
de vitamines peuvent,se
peuvent se,révéler
se révéler,néfastes
comme l’explique,le
l’explique le,professeur
le professeur,Chris
professeur Chris,van
Chris van,Tulleken
van Tulleken,sur le
Tulleken sur le,site
sur le site,de la BBC
Quant à la fameuse,vitamine
à la fameuse vitamine,C
vitamine C,qui
C qui,permettrait
qui permettrait,de lutter
permettrait de lutter,contre le
de lutter contre le,rhume
les essais,de fortes
essais de fortes,doses
de fortes doses,de vitamine
doses de vitamine,C
de vitamine C,administrées
C administrées,à visée
administrées à visée,curative
l’apparition des symptômes,ne
des symptômes ne,montraient
ne montraient,aucun
montraient aucun,effet
aucun effet,constant
effet constant,sur la durée
constant sur la durée,ou
sur la durée ou,la gravité
des symptômes du,rhume
du rhume,banal
rhume banal,,
banal,ont
ont,montré
ont montré,les
montré les,chercheurs
les chercheurs,Harri
chercheurs Harri,Hemilä
Harri Hemilä,et Elizabeth
Hemilä et Elizabeth,Chalker
Un petit,verre
petit verre,ça
verre ça,réchauffe
ça réchauffe,non
réchauffe non,?
L’alcool ne,désaltère
ne désaltère,qu’un
désaltère qu’un,temps
qu’un temps,et tend
temps et tend,même
et tend même,à induire
même à induire,une
à induire une,déshydratation
car l’alcool,possède
l’alcool possède,un
possède un,effet
un effet,diurétique
effet diurétique,qui
diurétique qui,entraîne
qui entraîne,une
entraîne une,augmentation
une augmentation,de la sécrétion
augmentation de la sécrétion,urinaire
De plus,l’impression
plus l’impression,de chaleur
l’impression de chaleur,est
de chaleur est,trompeuse
est trompeuse,:
trompeuse,l’alcool
l’alcool,entraîne
l’alcool entraîne,la dilatation
entraîne la dilatation,des vaisseaux
la dilatation des vaisseaux,sanguins
à la surface du,corps
du corps,et le
corps et le,sang
et le sang,circule
sang circule,alors
circule alors,plus
alors plus,près de l’épiderme
C’est ce,qui
ce qui,apporte
qui apporte,plus
apporte plus,de chaleur
plus de chaleur,à la surface
de chaleur à la surface,de la peau
à la surface de la peau,et la sensation
de la peau et la sensation,de se
et la sensation de se,réchauffer
Sauf que,cette
que cette,vasodilatation
cette vasodilatation,fait
vasodilatation fait,surtout
fait surtout,perdre
surtout perdre,sa
perdre sa,chaleur
sa chaleur,au buveur
chaleur au buveur,:
la température du,corps
du corps,diminue
corps diminue,d’un
diminue d’un,demidegré
d’un demidegré,pour 50
demidegré pour 50,grammes
pour 50 grammes,d’alcool
grammes d’alcool,consommé
La sensation,de chaleur
sensation de chaleur,disparaîtra
de chaleur disparaîtra,dès que
disparaîtra dès que,les
dès que les,vaisseaux
les vaisseaux,sanguins
vaisseaux sanguins,ne
sanguins ne,seront
ne seront,plus
seront plus,dilatés
explique l’Association,nationale
l’Association nationale,de prévention
nationale de prévention,en alcoologie
de prévention en alcoologie,et addictologie
Les frais,de nourriture
frais de nourriture,sont
de nourriture sont,des dépenses
sont des dépenses,d'ordre
des dépenses d'ordre,personnel
qui en principe,ne
en principe ne,sont
ne sont,pas
sont pas,déductibles
pas déductibles,Mais
déductibles Mais,dans certains
Mais dans certains,cas
il est,possible
est possible,de les
possible de les,déduire
Lorsque les,horaires
les horaires,de travail
horaires de travail,ou
de travail ou,l'éloignement
ou l'éloignement,du
l'éloignement du,domicile
du domicile,ne
domicile ne,permettent
ne permettent,pas
permettent pas,au salarié
de rentrer manger,chez lui
manger chez lui,il
chez lui il,peut
il peut,déduire
peut déduire,les
déduire les,frais
les frais,de repas
frais de repas,pris
de repas pris,sur le
pris sur le,lieu
sur le lieu,de travail
dans les conditions,suivantes
conditions suivantes,:
si le,salarié
le salarié,peut
salarié peut,justifier
peut justifier,précisément
justifier précisément,de ses
précisément de ses,frais
de ses frais,de repas
frais de repas,le
de repas le,montant
le montant,déductible
montant déductible,est
déductible est,en principe
est en principe,égal
en principe égal,à la différence
égal à la différence,entre les
à la différence entre les,dépenses
entre les dépenses,réelles
dépenses réelles,et la valeur
réelles et la valeur,des repas
et la valeur des repas,pris
des repas pris,à domicile
pris à domicile,estimée
à domicile estimée,forfaitairement
estimée forfaitairement,à 465
forfaitairement à 465,euros
à 465 euros,par repas
euros par repas,pour 2015
Attention toutefois,:
toutefois,si
si,le
si le,salarié
le salarié,choisit
salarié choisit,d'aller
choisit d'aller,au restaurant
plutôt qu'à,la cantine
qu'à la cantine,d'entreprise
la cantine d'entreprise,l'excédent
d'entreprise l'excédent,du
l'excédent du,prix
du prix,payé
prix payé,au restaurant
payé au restaurant,par rapport
au restaurant par rapport,à la cantine
n'est pas,déductible
pas déductible,Le
déductible Le,montant
Le montant,maximum
montant maximum,déductible
maximum déductible,est
déductible est,donc
est donc,égal
donc égal,à la différence
le coût,du
coût du,repas
du repas,à la cantine
repas à la cantine,et la valeur
à la cantine et la valeur,du
et la valeur du,repas
du repas,pris
repas pris,à domicile
si le,salarié
le salarié,ne
salarié ne,peut
ne peut,pas
peut pas,justifier
pas justifier,précisément
justifier précisément,de ses
précisément de ses,frais
de ses frais,de repas
frais de repas,la dépense
de repas la dépense,supplémentaire
déductible est,évaluée
est évaluée,forfaitairement
évaluée forfaitairement,à 465
forfaitairement à 465,euros
à 465 euros,par repas
euros par repas,pour 2015
par repas pour 2015,cette
pour 2015 cette,somme
cette somme,étant
le cas,échéant
cas échéant,diminuée
échéant diminuée,de la participation
diminuée de la participation,de l'employeur
de la participation de l'employeur,à l'acquisition
de l'employeur à l'acquisition,de titresrestaurant
L'évaluation forfaitaire,des frais
forfaitaire des frais,de nourriture
des frais de nourriture,ne
de nourriture ne,vous
ne vous,dispense
vous dispense,pas
dispense pas,de faire
la preuve par tous,moyens
par tous moyens,que
moyens que,vous
que vous,supportez
vous supportez,effectivement
supportez effectivement,des frais
effectivement des frais,supplémentaires
des frais supplémentaires,de nourriture
Vous devez,pouvoir
devez pouvoir,établir
pouvoir établir,au moyen
établir au moyen,par exemple
au moyen par exemple,d'une
par exemple d'une,attestation
d'une attestation,de votre
attestation de votre,employeur
que vous,ne
vous ne,disposez
ne disposez,pas
disposez pas,d'une
pas d'une,cantine
d'une cantine,sur le
cantine sur le,lieu
sur le lieu,de votre
lieu de votre,travail
de votre travail,ou
travail ou,à proximité
ou à proximité,ou
à proximité ou,que
ou que,vous
n'êtes pas,en mesure
pas en mesure,d'y
en mesure d'y,prendre
d'y prendre,vos
prendre vos,repas
vos repas,pour des raisons
repas pour des raisons,inhérentes
pour des raisons inhérentes,à l'exercice
inhérentes à l'exercice,de votre
à l'exercice de votre,profession
et que la durée,de la pause
la durée de la pause,de midi
de la pause de midi,ou
de midi ou,la distance
ou la distance,travaildomicile
la distance travaildomicile,ne
travaildomicile ne,vous
ne vous,permettent
pas de déjeuner,chez vous
Le lundi,26
lundi 26,octobre
26 octobre,un
octobre un,avis
un avis,scientifique
avis scientifique,de l’Organisation
scientifique de l’Organisation,mondiale
de l’Organisation mondiale,de la santé
mondiale de la santé,OMS
a provoqué,un
provoqué un,tsunami
un tsunami,médiatique
tsunami médiatique,de commentaires
médiatique de commentaires,négatifs
de commentaires négatifs,sur la consommation
négatifs sur la consommation,mondiale
sur la consommation mondiale,de viande
De quoi,s’agitil
quoi s’agitil, 
s’agitil  ,Du
  Du,lien
Du lien,entre la fréquence
lien entre la fréquence,du
entre la fréquence du,cancer
du cancer,colorectal
cancer colorectal,et la consommation
de deux types,de viande
types de viande,les
de viande les,viandes
les viandes,transformées
viandes transformées,d’une
transformées d’une,part
d’une part,et les
part et les,viandes
et les viandes,rouges
viandes rouges,d’autre
rouges d’autre,part
Le journal,Le
journal Le,Monde
Le Monde,en a
Monde en a,fait
en a fait,sa
fait sa,une de
sa une de,l’édition
une de l’édition,datée
l’édition datée,du
datée du,mardi
du mardi,27
mardi 27,octobre
avec un,titre
un titre,sans nuance
titre sans nuance, 
sans nuance  ,Les
  Les,viandes
Les viandes,rouges
viandes rouges,classées
rouges classées,cancérogènes
classées cancérogènes, 
cancérogènes  ,L’analogie
  L’analogie,avec
les méfaits,du
méfaits du,tabac
du tabac,est
tabac est,inévitable
est inévitable,Un
inévitable Un,institut
Un institut,de recherche
institut de recherche,cité
de recherche cité,par le
cité par le,journal
par le journal,a
journal a,même
a même,estimé
même estimé,que
dans le monde,34 
monde 34 ,000
34  000,décès
000 décès,annuels
décès annuels,étaient
annuels étaient,imputables
étaient imputables,à la viande
imputables à la viande,transformée
à la viande transformée,et 50 
transformée et 50 ,000
et 50  000,aux viandes
000 aux viandes,rouges
aux viandes rouges,contre un
rouges contre un,million
contre un million,pour le
million pour le,tabac
pour le tabac,600000
tabac 600000,pour l’alcool
600000 pour l’alcool,et 200000
pour l’alcool et 200000,pour la pollution
et 200000 pour la pollution,atmosphérique
pour la pollution atmosphérique,Rappelons
atmosphérique Rappelons,que
Rappelons que,l’humanité
que l’humanité,dénombre
l’humanité dénombre,environ
dénombre environ,60
environ 60,millions
60 millions,de morts
millions de morts,par an
de morts par an,dont
par an dont,1
dont 1,%
1 %,à cause
% à cause,du
à cause du,cancer
du cancer,colorectal
cancer colorectal,Selon
colorectal Selon,ces
Selon ces,données
ces données,14
données 14,%
14 %,de ce
% de ce,1
de ce 1,%
1 %,seraient
% seraient,dus
seraient dus,à la viande
Lire aussi,
aussi,La
La,viande
La viande,rouge
viande rouge,est
rouge est,probablement
est probablement,cancérogène
Cette information,n’est
information n’est,pas
n’est pas,nouvelle
pas nouvelle,Elle
nouvelle Elle,a
Elle a,débuté
a débuté,il
débuté il,y
il y,a
y a,une
a une,quinzaine
d’années et a,fait
et a fait,l’objet
fait l’objet,de controverses
l’objet de controverses,Certaines
de controverses Certaines,métaanalyses
Certaines métaanalyses,synthèses
métaanalyses synthèses,de publications
synthèses de publications,scientifiques
l’ont confirmée,d’autres
confirmée d’autres,l’ont
d’autres l’ont,infirmée
l’ont infirmée,La
infirmée La,solennité
La solennité,scientifique
l’OMS lui,donne
lui donne,aujourd’hui
donne aujourd’hui,du
aujourd’hui du,poids
du poids,mais
poids mais,la controverse
mais la controverse,va
la controverse va,continuer
va continuer,au regard
continuer au regard,des contestations
déjà exprimées,et dont
exprimées et dont,le
et dont le,journal
le journal,Le
journal Le,Monde
Le Monde,a
Monde a,fait
a fait,état
fait état,témoin
état témoin,cette
témoin cette,qualification
cette qualification,américaine
L’OMS serait,partie
serait partie,de 800
partie de 800,études
de 800 études,issues
études issues,de 10
issues de 10,pays
de 10 pays,mais
pays mais,c’est
mais c’est,à partir
10 études,seulement
études seulement,qu’elle
seulement qu’elle,aurait
qu’elle aurait,établi
aurait établi,son
établi son,principal
son principal,résultat 
principal résultat ,:
une faible,augmentation
faible augmentation,de la fréquence
augmentation de la fréquence,du
de la fréquence du,cancer
du cancer,du
cancer du,côlon
du côlon,selon les
côlon selon les,niveaux
selon les niveaux,de consommation
des viandes transformées,et des viandes
transformées et des viandes,grillées
Aaron Levie,l’une
Levie l’une,des figures
l’une des figures,de la Silicon
des figures de la Silicon,Valley
de la Silicon Valley,s’en
Valley s’en,étonnait
s’en étonnait,début
étonnait début,mai
En 2020,on
2020 on,continue
on continue,à parler
continue à parler,de ce
à parler de ce,qui
de ce qui,devait
qui devait,changer
devait changer,le
changer le,monde
le monde,en 2000
monde en 2000,:
les visioconférences,la fin
visioconférences la fin,du
la fin du,papier
du papier,le
papier le,commerce
le commerce,en ligne
commerce en ligne,La
en ligne La,différence
est qu’il,y
qu’il y,a
y a,maintenant
a maintenant,un
maintenant un,impératif
un impératif,à le
impératif à le,faire
à le faire,”,
faire,insiste
insiste,le
insiste le,PDG
le PDG,de Box
une société,de logiciels
société de logiciels,dématérialisés
de logiciels dématérialisés,qui
dématérialisés qui,a
qui a,vu
a vu,la demande
vu la demande,de services
la demande de services,sur le
de services sur le,cloud
sur le cloud,exploser
Et la technologie,est
la technologie est,finalement
est finalement,prête
finalement prête,conclutil
La Silicon,Valley
Silicon Valley,était
Valley était,en quelque
était en quelque,sorte
en quelque sorte,préparée
sorte préparée,au virus
préparée au virus,Dès
au virus Dès,les
Dès les,premiers
les premiers,cas
premiers cas,de contamination
elle a,renvoyé
a renvoyé,ses
renvoyé ses,salariés
ses salariés,chez eux
salariés chez eux,Deux
chez eux Deux,mois
Deux mois,et demi
mois et demi,plus
et demi plus,tard
plus tard,elle
tard elle,fait
elle fait,figure
fait figure,de dernier
figure de dernier,pilier
de dernier pilier,–
avec le,dollar
le dollar,–
dollar,d’un
d’un,modèle
d’un modèle,américain
modèle américain,ébranlé
Article réservé,à nos
réservé à nos,abonnés
à nos abonnés,Lire
abonnés Lire,aussi
Lire aussi,
aussi,Coronavirus
Coronavirus,:
Coronavirus,Aux
Aux,EtatsUnis
Aux EtatsUnis,la
EtatsUnis la,tech
la  tech,»
tech,en état
en état,d’urgence
Plus question,de s’effrayer
question de s’effrayer,de l’addiction
de s’effrayer de l’addiction,aux écrans
de l’addiction aux écrans,;
aux écrans,les
les,réseaux
les réseaux,sociaux
réseaux sociaux,ont
sociaux ont,redoré
ont redoré,leur
redoré leur,blason
Un sondage,publié
sondage publié,le
publié le,10
le 10,mars
10 mars,par la Knight
mars par la Knight,Foundation
par la Knight Foundation,et Gallup
Foundation et Gallup,indiquait
et Gallup indiquait,que
indiquait que,pour 47
que pour 47,%
pour 47 %,des Américains
les entreprises,technologiques
entreprises technologiques,créaient
technologiques créaient,«
créaient,plus
plus,de problèmes
plus de problèmes,qu’elles
de problèmes qu’elles,n’en
qu’elles n’en,résolv[ai]ent
n’en résolv[ai]ent,»
15 %,seulement
% seulement,se
seulement se,prononçaient
se prononçaient,pour l’inverse
prononçaient pour l’inverse,Mais
pour l’inverse Mais,depuis le
Mais depuis le,confinement
depuis le confinement,on
confinement on,les
on les,plébiscite
L’écran c’est,l’
c’est l’,apéro
l’ apéro,visio
apéro visio,»,
visio,les
les,«
les,storytime
storytime,»
storytime,avec
avec,les
avec les,grandsparents
les grandsparents,interdits
grandsparents interdits,de visite
l’amplification de la voix,des personnels
de la voix des personnels,soignants
des personnels soignants,plutôt
soignants plutôt,que
plutôt que,de celle
que de celle,des provocateurs
L’Internet estil,redevenu
estil redevenu,gentil
redevenu gentil,?
gentil,s’interrogeait
s’interrogeait,le
s’interrogeait le,New
le New,York
New York,Times
York Times,le
Times le,1er
le 1er,avril
Article réservé,à nos
réservé à nos,abonnés
à nos abonnés,Lire
abonnés Lire,aussi
Lire aussi,
aussi,Face
Face,au coronavirus
Face au coronavirus,une
au coronavirus une,Amérique
une Amérique,aux pieds
Amérique aux pieds,d’argile
De Netflix,à Amazon
Netflix à Amazon,les
à Amazon les,géants
les géants,des technologies
géants des technologies,ont
des technologies ont,accentué
ont accentué,leur
accentué leur,domination
leur domination,sur l’économie
Non seulement,la pandémie
seulement la pandémie,leur
la pandémie leur,a
leur a,donné
a donné,raison
donné raison,mais
raison mais,la transition
mais la transition,s’est
la transition s’est,accélérée
Il n’est,pas
n’est pas,sûr
pas sûr,que
sûr que,les
que les,consommateurs
les consommateurs,vont
consommateurs vont,retourner
vont retourner,dans les
retourner dans les,malls
dans les malls,ou
malls ou,les
ou les,multiplex
les multiplex,de cinémas
Soixantehuit pour cent,d’entre
pour cent d’entre,eux
d’entre eux,indiquent
eux indiquent,qu’ils
indiquent qu’ils,éviteront
qu’ils éviteront,les
éviteront les,voyages
les voyages,non
voyages non,essentiels
même dans le,monde
dans le monde,d’après
monde d’après,selon un
d’après selon un,sondage
selon un sondage,Harris
sondage Harris,Poll
Harris Poll,Les
Poll Les,changements
Les changements,vont
changements vont,être
vont être,«
être,significatifs
et durables,prévoit
prévoit,Sundar
prévoit Sundar,Pichai
Sundar Pichai,le
Pichai le,PDG
le PDG,de Google
Gouvernance Dans,l’incertitude
Dans l’incertitude,actuelle
l’incertitude actuelle,sur la violence
actuelle sur la violence,de la récession
sur la violence de la récession,économique
fautil retarder,ou
retarder ou,accélérer
ou accélérer,la transition
accélérer la transition,écologique
la transition écologique,?
écologique,Une
Une,lettre
Une lettre,de Geoffroy
lettre de Geoffroy,Roux
de Bézieux à la ministre,de la transition
à la ministre de la transition,écologique
de la transition écologique,Elisabeth
écologique Elisabeth,Borne
Elisabeth Borne,a
Borne a,lancé
a lancé,le
lancé le,débat
Le président,du
président du,Medef
du Medef,demandait
Medef demandait,un
demandait un,moratoire
un moratoire,de six
moratoire de six,mois
de six mois,pour l’application
de la loi du,10
du 10,février
10 février,2020
février 2020,visant
2020 visant,à lutter
visant à lutter,contre le
à lutter contre le,gaspillage
contre le gaspillage,et à développer
gaspillage et à développer,l’économie
et à développer l’économie,circulaire
et de la loi de 2015,sur la transition
de 2015 sur la transition,énergétique
sur la transition énergétique,pour la croissance
énergétique pour la croissance,verte
Selon ses,arguments
ses arguments,la chute
arguments la chute,du
la chute du,PIB
du PIB,pourrait
PIB pourrait,dépasser
pourrait dépasser,3
dépasser 3,%
3 %,en 2020
ce qui,condamnerait
qui condamnerait,nombre
condamnerait nombre,d’entreprises
nombre d’entreprises,à la faillite
d’entreprises à la faillite,et détruirait
à la faillite et détruirait,au moins
et détruirait au moins,beacoup
au moins beacoup,d'emplois
Pour M,Roux
M Roux,de Bézieux
Roux de Bézieux,les
de Bézieux les,conditions
les conditions,ne
conditions ne,sont
ne sont,pas
sont pas,remplies
pas remplies,pour appliquer
remplies pour appliquer,ces
pour appliquer ces,lois
en particulier dans certaines,industries
dans certaines industries,comme
industries comme,l’automobile
Article réservé,à nos
réservé à nos,abonnés
à nos abonnés,Lire
abonnés Lire,aussi
Lire aussi,
aussi,Transition
Transition,énergétique
Transition énergétique,:
L’élite managériale,française
managériale française,se
française se,complaît
se complaît,dans la pensée
complaît dans la pensée,magique
dans la pensée magique,de l’innovation
magique de l’innovation,»
Quand les,entreprises
les entreprises,doivent
entreprises doivent,lutter
doivent lutter,pour relancer
lutter pour relancer,leurs
pour relancer leurs,activités
et parfois leurs,marchés
leurs marchés,il
marchés il,ne
il ne,serait
ne serait,pas
serait pas,sage
pas sage,de les
sage de les,accabler
de les accabler,de contraintes
accabler de contraintes,environnementales
supplémentaires Quand,elles
Quand elles,retrouveront
elles retrouveront,leurs
retrouveront leurs,marges
leurs marges,elles
marges elles,pourront
elles pourront,répondre
pourront répondre,aux normes
d’une croissance,verte
croissance verte,tel
verte tel,est
tel est,l’avis
est l’avis,du
l’avis du,Medef
du Medef,qui
Medef qui,comme
qui comme,tel
comme tel,est
tel est,respectable
est respectable,et discutable
Source de prospérité,économique
de prospérité économique,future
économique future,?
La transition,énergétique
transition énergétique,a
énergétique a,souvent
a souvent,été
souvent été,présentée
été présentée,ces
présentée ces,dernières
ces dernières,années
comme une,opposition
une opposition,entre réalistes
opposition entre réalistes,et idéalistes
entre réalistes et idéalistes,ou
et idéalistes ou,entrepreneurs
ou entrepreneurs,contre écologistes
Or cette,division
cette division,crée
division crée,un
crée un,faux
un faux,débat
faux débat,car
débat car,la question
car la question,n’est
la question n’est,pas
n’est pas,d’opposer
pas d’opposer,les
d’opposer les,contraintes
les contraintes,économiques
aux contraintes environnementales,mais
environnementales mais,de savoir
mais de savoir,si
de savoir si,la transition
si la transition,énergétique
écologique peut,constituer
peut constituer,ou
constituer ou,non
ou non,une
non une,source
une source,de prospérité
source de prospérité,économique
de prospérité économique,future
Le clivage,véritable
clivage véritable,se
véritable se,situe
se situe,donc
situe donc,plutôt
donc plutôt,entre ceux
plutôt entre ceux,qui
entre ceux qui,croient
qui croient,que
croient que,cette
que cette,transition
cette transition,est
un relais,de prospérité
relais de prospérité,même
de prospérité même,si
même si,la prospérité
si la prospérité,passe
la prospérité passe,par une
passe par une,adaptation
par une adaptation,des entreprises
et parfois des faillites,;
des faillites,et ceux
et ceux,qui
et ceux qui,n’y
qui n’y,croient
n’y croient,pas
croient pas,et considèrent
pas et considèrent,qu’il
et considèrent qu’il,faut
qu’il faut,revenir
à l’économie,comme
comme,avant
comme avant,pour pouvoir
avant  pour pouvoir,répondre
pour pouvoir répondre,aux exigences
répondre aux exigences,environnementales
aux exigences environnementales,dans un
environnementales dans un,second
dans un second,temps
Dans les,deux
les deux,cas
deux cas,il
cas il,s’agit
il s’agit,d’affronter
s’agit d’affronter,des réalités
d’affronter des réalités,difficiles
A huit jours,du
jours du,lancement
du lancement,officiel
